time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-24T07:18:33.680Z,17.9058,-66.8773,15,2.04,md,4,281,0.0693,0.05,pr,pr2022024003,2022-01-24T07:47:04.714Z,"7 km SSE of Guánica, Puerto Rico",earthquake,0.83,0.65,0,1,reviewed,pr,pr
2022-01-24T07:11:38.979Z,33.2607,-4.2187,10,4.3,mb,,78,0.599,0.59,us,us7000gei6,2022-01-24T10:05:52.040Z,"73 km SSW of Tmourghout, Morocco",earthquake,4.5,1.9,0.16,11,reviewed,us,us
2022-01-24T07:11:23.600Z,35.7133333,-117.5485,3.31,1.74,ml,23,91,0.1097,0.23,ci,ci39921703,2022-01-24T07:15:26.854Z,"14km WSW of Searles Valley, CA",earthquake,0.37,1.33,0.162,26,automatic,ci,ci
2022-01-24T07:04:21.710Z,19.1751670837402,-155.48649597168,33.1399993896484,2.02999997,md,31,156,,0.140000001,hv,hv72887862,2022-01-24T07:07:31.760Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.63,0.910000026,1.84000003,6,automatic,hv,hv
2022-01-24T06:40:33.870Z,-21.2593,-68.8572,132.45,4.5,mb,,54,0.626,0.59,us,us7000gehx,2022-01-24T09:49:37.040Z,"132 km N of Calama, Chile",earthquake,5.1,2.6,0.099,30,reviewed,us,us
2022-01-24T06:25:12.670Z,19.4109992980957,-155.26432800293,2.05999994277954,1.78,ml,11,66,,0.129999995,hv,hv72887847,2022-01-24T06:30:43.330Z,"4 km SW of Volcano, Hawaii",earthquake,0.31,0.409999996,0.22,7,automatic,hv,hv
2022-01-24T06:24:00.330Z,19.2486667633057,-155.39616394043,32.6199989318848,2.00999999,md,40,133,,0.119999997,hv,hv72887842,2022-01-24T06:27:17.320Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.57,0.779999971,0.850000024,22,automatic,hv,hv
2022-01-24T06:18:00.845Z,61.6899,-150.1774,28.3,1.7,ml,,,,0.66,ak,ak02213sksfm,2022-01-24T06:22:08.353Z,"9 km SW of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-01-24T06:09:22.726Z,53.2788,-166.7935,43.78,5,mb,,63,0.518,0.95,us,us7000gehv,2022-01-24T07:46:07.842Z,"68 km SSW of Unalaska, Alaska",earthquake,4.9,5.9,0.025,532,reviewed,us,us
2022-01-24T05:26:03.655Z,38.426,-118.9189,9.5,1.5,ml,18,162.92,0.124,0.2139,nn,nn00832317,2022-01-24T05:29:36.239Z,"27 km WSW of Hawthorne, Nevada",earthquake,,0.7,0.11,13,automatic,nn,nn
